Instance; Global Iterations; 2-Opt time; alpha value; Execution time; Result; Optimal distance; Gap
tsp1.txt; 3; 1200.0; 0.3; 1293.11; 571; 564; 1.23%
tsp2.txt; 4; 1200.0; 0.2; 528.19; 1055; 1019; 3.41%
tsp3.txt; 5; 1800.0; 0.2; 3632.46; 3838; 1368; 8.36%
tsp4.txt; 2; 600.0; 0.1; 621.09; 1520; 1332; 12.37%
tsp5.txt; 1; 1200.0; 0.0; 1344.49; 1666; 1621; 2.7%
tsp6.txt; 1; 1200.0; 0.0; 1225.54; 1424; 1281; 10.04%
tsp7.txt; 1; 600.0; 0.1; 629.47; 3394; 1343; 60.43%
tsp8.txt; 3; 180.0; 0.2; 207.22; 1767; 1365; 22.75%
tsp9.txt; 1; 180.0; 0.0; 207.31; 1653; 1443; 12.7%
tsp10.txt; 1; 600.0; 0.0; 697.59; 2921; 1513; 48.2%
