Instance; Global Iterations; 2-Opt time; k value; Execution time; Result; Optimal distance; Gap
tsp1.txt;2; 180.0;1; 90.45;564;564; 0.0%
tsp2.txt; 2; 1200.0; 2; 2172.61; 1065; 1019; 4.32%
tsp3.txt; 3; 1200.0; 1; 1217.31; 1390; 1368; 1.58%
tsp4.txt; 1; 1200.0; 1; 1226.37; 1460; 1332; 8.77%
tsp5.txt; 2; 600.0; 1; 616.15; 1751; 1621; 7.42%
tsp6.txt; 3; 1200.0; 2; 3657.56; 1877; 1281; 31.75%
tsp7.txt; 3; 600.0; 3; 625.88; 1555; 1343; 13.63%
tsp8.txt; 3; 1800.0; 2; 3656.27; 1977; 1365; 30.96%
tsp9.txt; 1; 2400.0; 1; 2432.77; 1597; 1443; 9.64%
tsp10.txt; 3; 2400.0; 2; 7473.39; 3917; 1513; 61.37%
